t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
88,0,0,0,0,0.249048742,0.453172888,0.249048742,0.725338414,0.575909169,0.575909169,-0.104504648,-0.104504648,0,0,0,0,0.725338414,0.249048742,0.453172888,0.92946256,0,0,0,0,-1,0.4,1,-0.680413817,0.272165527,0.702624284
89,0,0,0,0,0.889206798,0.368451155,0.889206798,0.759017887,0.012768435,0.66371299,0.66371299,0.012768435,0,0,0,0,0,0,0,0,0.759017887,0.889206798,0.368451155,0.238262244,-1,0.6,-1,-0.650944555,0.390566733,-0.685253056
90,0,0,0,0,0.895215148,0.400240401,0.895215148,0.82450447,0.084580749,0.720976852,0.650266174,0.013870071,0,0,0,0,0,0,0,0,0.702029983,0.843451339,0.277765914,0.136344558,-1,0.6,-0.8,-0.707106781,0.424264069,-0.601384779
91,0,0,0,0,0.889086035,0.431590324,0.889086035,0.889086035,0.167455052,0.777449334,0.624950763,0.014956482,0,0,0,0,0,0,0,0,0.624950763,0.777449334,0.167455052,0.014956482,-1,0.6,-0.6,-0.762492852,0.457495711,-0.491605144
92,0,0,0,0,0.86466078,0.459107227,0.86466078,0.94577149,0.259242194,0.827017168,0.583685036,0.015910062,0,0,0,0,0,0,0,0,0.524307875,0.686529296,0.037643612,-0.124577809,-1,0.6,-0.4,-0.811107106,0.486664263,-0.352234977
93,0,0,0,0,0.81644048,0.478378778,0.81644048,0.985471331,0.354639607,0.86173216,0.523670458,0.016577905,0,0,0,0,0,0,0,0,0.399931287,0.568962138,-0.107161265,-0.276192116,-1,0.6,-0.2,-0.845154255,0.507092553,-0.18493168
94,0,0,0,0,0.742610657,0.48536278,0.742610657,0.999858535,0.445566394,0.874312857,0.445566394,0.016819931,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.6,0,-0.857492926,0.514495755,0
95,0,0,0,0,0.647409629,0.478378778,0.647409629,0.985471331,0.523670458,0.86173216,0.354639607,0.016577905,0,0,0,0,0.399931287,-0.276192116,-0.107161265,0.568962138,0,0,0,0,-1,0.6,0.2,-0.845154255,0.507092553,0.18493168
96,0,0,0,0,0.540217938,0.459107227,0.540217938,0.94577149,0.583685036,0.827017168,0.259242194,0.015910062,0,0,0,0,0.524307875,-0.124577809,0.037643612,0.686529296,0,0,0,0,-1,0.6,0.4,-0.811107106,0.486664263,0.352234977
97,0,0,0,0,0.431590324,0.431590324,0.431590324,0.889086035,0.624950763,0.777449334,0.167455052,0.014956482,0,0,0,0,0.624950763,0.014956482,0.167455052,0.777449334,0,0,0,0,-1,0.6,0.6,-0.762492852,0.457495711,0.491605144
98,0,0,0,0,0.329529723,0.400240401,0.329529723,0.82450447,0.650266174,0.720976852,0.084580749,0.013870071,0,0,0,0,0.702029983,0.136344558,0.277765914,0.843451339,0,0,0,0,-1,0.6,0.8,-0.707106781,0.424264069,0.601384779
99,0,0,0,0,0.238262244,0.368451155,0.238262244,0.759017887,0.66371299,0.66371299,0.012768435,0.012768435,0,0,0,0,0.759017887,0.238262244,0.368451155,0.889206798,0,0,0,0,-1,0.6,1,-0.650944555,0.390566733,0.685253056
100,0,0,0,0,0.840730518,0.286818809,0.840730518,0.779184773,0.118672705,0.73413016,0.73413016,0.118672705,0,0,0,0,0,0,0,0,0.779184773,0.840730518,0.286818809,0.225273063,-1,0.8,-1,-0.615457455,0.492365964,-0.64421009
101,0,0,0,0,0.838445806,0.308632863,0.838445806,0.838445806,0.193924996,0.789964557,0.723737939,0.127698378,0,0,0,0,0,0,0,0,0.723737939,0.789964557,0.193924996,0.127698378,-1,0.8,-0.8,-0.662266179,0.529812943,-0.558798756
102,0,0,0,0,0.82450447,0.329529723,0.82450447,0.895215148,0.277765914,0.843451339,0.702029983,0.136344558,0,0,0,0,0,0,0,0,0.650266174,0.720976852,0.084580749,0.013870071,-1,0.8,-0.6,-0.707106781,0.565685425,-0.451038584
103,0,0,0,0,0.794568423,0.347354827,0.794568423,0.943639621,0.367326581,0.889075776,0.665468978,0.143719783,0,0,0,0,0,0,0,0,0.556341287,0.630876886,-0.039943507,-0.114479107,-1,0.8,-0.4,-0.745355992,0.596284794,-0.319275428
104,0,0,0,0,0.74530478,0.359546405,0.74530478,0.976759805,0.457370809,0.920280859,0.611674159,0.148764109,0,0,0,0,0,0,0,0,0.442237321,0.519388996,-0.174976079,-0.252127754,-1,0.8,-0.2,-0.77151675,0.6172134,-0.166113874
105,0,0,0,0,0.676252226,0.363904702,0.676252226,0.98859975,0.541001781,0.931436186,0.541001781,0.150567376,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.8,0,-0.780868809,0.624695048,0
