t,px1,px2,px3,px4,nx1,nx2,nx3,nx4,py1,py2,py3,py4,ny1,ny2,ny3,ny4,pz1,pz2,pz3,pz4,nz1,nz2,nz3,nz4,sx,sy,sz,sx_unit,sy_unit,sz_unit
21,0,0,0,0,0.308632863,0.838445806,0.308632863,0.308632863,0,0,0,0,0.723737939,0.127698378,0.193924996,0.789964557,0.193924996,0.127698378,0.723737939,0.789964557,0,0,0,0,-1,-0.8,0.8,-0.662266179,-0.529812943,0.558798756
22,0,0,0,0,0.225273063,0.779184773,0.225273063,0.286818809,0,0,0,0,0.73413016,0.118672705,0.118672705,0.73413016,0.286818809,0.225273063,0.779184773,0.840730518,0,0,0,0,-1,-0.8,1,-0.615457455,-0.492365964,0.64421009
23,0,0,0,0,0.889206798,0.759017887,0.889206798,0.368451155,0,0,0,0,0.012768435,0.012768435,0.66371299,0.66371299,0,0,0,0,0.368451155,0.889206798,0.759017887,0.238262244,-1,-0.6,-1,-0.650944555,-0.390566733,-0.685253056
24,0,0,0,0,0.895215148,0.82450447,0.895215148,0.400240401,0,0,0,0,0.084580749,0.013870071,0.650266174,0.720976852,0,0,0,0,0.277765914,0.843451339,0.702029983,0.136344558,-1,-0.6,-0.8,-0.707106781,-0.424264069,-0.601384779
25,0,0,0,0,0.889086035,0.889086035,0.889086035,0.431590324,0,0,0,0,0.167455052,0.014956482,0.624950763,0.777449334,0,0,0,0,0.167455052,0.777449334,0.624950763,0.014956482,-1,-0.6,-0.6,-0.762492852,-0.457495711,-0.491605144
26,0,0,0,0,0.86466078,0.94577149,0.86466078,0.459107227,0,0,0,0,0.259242194,0.015910062,0.583685036,0.827017168,0,0,0,0,0.037643612,0.686529296,0.524307875,-0.124577809,-1,-0.6,-0.4,-0.811107106,-0.486664263,-0.352234977
27,0,0,0,0,0.81644048,0.985471331,0.81644048,0.478378778,0,0,0,0,0.354639607,0.016577905,0.523670458,0.86173216,0,0,0,0,-0.107161265,0.568962138,0.399931287,-0.276192116,-1,-0.6,-0.2,-0.845154255,-0.507092553,-0.18493168
28,0,0,0,0,0.742610657,0.999858535,0.742610657,0.48536278,0,0,0,0,0.445566394,0.016819931,0.445566394,0.874312857,0,0,0,0,0,0,0,0,-1,-0.6,0,-0.857492926,-0.514495755,0
29,0,0,0,0,0.647409629,0.985471331,0.647409629,0.478378778,0,0,0,0,0.523670458,0.016577905,0.354639607,0.86173216,-0.107161265,-0.276192116,0.399931287,0.568962138,0,0,0,0,-1,-0.6,0.2,-0.845154255,-0.507092553,0.18493168
30,0,0,0,0,0.540217938,0.94577149,0.540217938,0.459107227,0,0,0,0,0.583685036,0.015910062,0.259242194,0.827017168,0.037643612,-0.124577809,0.524307875,0.686529296,0,0,0,0,-1,-0.6,0.4,-0.811107106,-0.486664263,0.352234977
31,0,0,0,0,0.431590324,0.889086035,0.431590324,0.431590324,0,0,0,0,0.624950763,0.014956482,0.167455052,0.777449334,0.167455052,0.014956482,0.624950763,0.777449334,0,0,0,0,-1,-0.6,0.6,-0.762492852,-0.457495711,0.491605144
